emp_no,first_name,last_name,title,from_date,to_date
10009,Sumant,Peac,Assistant Engineer,1985-02-18,1990-02-18
10070,Reuven,Garigliano,Technique Leader,1985-10-14,9999-01-01
10126,Kayoko,Valtorta,Staff,1985-09-08,1991-09-08
10198,Pranav,Furedi,Engineer,1985-08-31,1993-08-31
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,1991-05-17
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11,1993-02-12
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01
10426,Arunas,Luce,Technique Leader,1985-07-06,9999-01-01
10453,Tsvetan,Matzel,Staff,1985-04-02,1993-04-02
10749,King,Brendel,Engineer,1985-09-26,1990-09-26
10768,Ishfaq,Candan,Engineer,1985-07-04,1990-07-04
10848,Fen,Bratsberg,Engineer,1985-04-20,1992-04-20
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01
10986,Masako,Schiper,Technique Leader,1985-10-11,9999-01-01
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,9999-01-01
10989,Sumali,Candan,Staff,1985-07-20,1991-07-20
11031,Ottavia,Walstra,Staff,1985-10-24,1993-10-24
11038,Jinya,Beidas,Staff,1985-07-15,1992-07-15
11070,Adib,Raney,Engineer,1985-07-24,1991-07-24
11081,Barry,Boyle,Staff,1985-06-17,1994-06-17
11106,Aris,Iwayama,Assistant Engineer,1985-08-31,1991-08-31
11113,Shahab,Peng,Staff,1985-11-30,1991-11-30
11162,Kauko,Narlikar,Engineer,1985-03-28,1990-03-28
11204,Diederik,Covnot,Technique Leader,1985-09-18,9999-01-01
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01
11291,Gino,Glowinski,Senior Engineer,1985-10-20,2001-04-15
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,1990-05-15
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,1992-07-07
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,9999-01-01
11393,Junsik,Junot,Engineer,1985-04-30,1992-04-30
11431,Youngkon,Picht,Staff,1985-09-16,1991-09-16
11578,Edwin,Rosti,Engineer,1985-11-22,1991-11-22
11603,Herb,Swen,Staff,1985-04-13,1994-04-13
11696,Dante,Rothe,Staff,1985-10-23,1994-10-23
11705,Arve,Hofmeyr,Staff,1985-10-30,1990-10-30
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,1991-02-05
11949,Martijn,Harbusch,Technique Leader,1985-03-11,9999-01-01
11988,Chinya,Chinin,Engineer,1985-11-03,1990-11-03
12025,Jaewoo,Heiserman,Staff,1985-02-28,1990-06-09
12069,Ayonca,Burnard,Assistant Engineer,1985-05-13,1990-05-13
12076,Karlis,Siprelle,Senior Staff,1985-03-25,9999-01-01
12159,Shem,Perly,Senior Engineer,1985-07-17,9999-01-01
12206,Barton,Janetzko,Assistant Engineer,1985-03-27,1993-03-27
12221,Vincent,Melter,Engineer,1985-09-16,1991-09-16
12247,Subbu,Penttonen,Technique Leader,1985-04-09,9999-01-01
12256,Guadalupe,Reghbati,Staff,1985-08-26,1992-08-26
12308,Mototsugu,Cronau,Staff,1985-08-11,1991-08-11
12311,Susanne,Lubachevsky,Senior Engineer,1985-10-22,9999-01-01
